0 201 clueweb12-0906wb-09-33744 1:24.439816 2:-2.716231382400983 7:2 8:22.055388699999998 9:7 10:1409 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-0508wb-36-14116 1:24.162819 2:-1.5970064861865187 7:2 8:22.055388699999998 9:2 10:825 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-1812wb-36-11474 1:24.162819 2:-1.5970064861865187 7:2 8:22.055388699999998 9:2 10:351 3:-1 4:-1 5:-1 6:-1
0 201 clueweb12-0902wb-72-11855 1:21.70524 2:-2.9832919411036887 7:2 8:22.055388699999998 9:8 10:1064 3:-1 4:-1 5:-1 6:-1
0 201 clueweb12-1100tw-55-13200 1:21.70524 2:-3.2188557858730107 7:2 8:22.055388699999998 9:9 10:3081 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-0500tw-17-18276 1:21.6979 2:-2.4079322492956994 7:2 8:22.055388699999998 9:3 10:376 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-0714wb-00-13547 1:21.6979 2:-2.9832919411036887 7:2 8:22.055388699999998 9:4 10:607 3:-1 4:-1 5:-1 6:-1
0 201 clueweb12-0908wb-09-14789 1:21.6979 2:-2.9832919411036887 7:2 8:22.055388699999998 9:4 10:2377 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-0904wb-71-24469 1:21.6979 2:-2.9832919411036887 7:2 8:22.055388699999998 9:4 10:1322 3:-1 4:-1 5:-1 6:-1
0 201 clueweb12-1716wb-66-00027 1:21.6979 2:-2.9832919411036887 7:2 8:22.055388699999998 9:4 10:710 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-1111wb-41-15778 1:21.6979 2:-2.4079322492956994 7:2 8:22.055388699999998 9:3 10:448 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-1205wb-35-08540 1:21.6979 2:-2.4079322492956994 7:2 8:22.055388699999998 9:3 10:155 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-1604wb-20-11054 1:21.650719 2:-2.9832919411036887 7:2 8:22.055388699999998 9:4 10:375 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-1310wb-04-16486 1:21.650719 2:-2.9832919411036887 5:21.15392 6:-1.5970153924355432 7:2 8:22.055388699999998 9:4 10:743 3:-1 4:-1
0 201 clueweb12-0915wb-42-02088 1:21.650719 2:-2.9832919411036887 7:2 8:22.055388699999998 9:4 10:482 3:-1 4:-1 5:-1 6:-1
0 201 clueweb12-1200tw-95-12617 1:21.650719 2:-2.9832919411036887 7:2 8:22.055388699999998 9:4 10:322 3:-1 4:-1 5:-1 6:-1
0 201 clueweb12-0200tw-42-04809 1:21.617996 2:-3.429574590648112 7:2 8:22.055388699999998 9:10 10:58 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-0906wb-96-33932 1:21.617996 2:-2.9832919411036887 7:2 8:22.055388699999998 9:8 10:1376 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-0909wb-35-26187 1:21.617996 2:-3.2188557858730107 7:2 8:22.055388699999998 9:9 10:549 3:-1 4:-1 5:-1 6:-1
0 201 clueweb12-0100tw-52-01034 1:21.589676 2:-2.4079322492956994 7:2 8:22.055388699999998 9:3 10:126 3:-1 4:-1 5:-1 6:-1
1 201 clueweb12-1700tw-22-12689 3:24.309557 4:-5.664177089260875 7:2 8:22.055388699999998 9:6 10:978 1:-1 2:-1 5:-1 6:-1
1 201 clueweb12-0915wb-34-01721 3:23.93026 4:-6.0049196768085675 7:2 8:22.055388699999998 9:9 10:743 1:-1 2:-1 5:-1 6:-1
0 201 clueweb12-0900wb-98-24673 3:23.682499 4:-6.320305677965212 7:2 8:22.055388699999998 9:5 10:488 1:-1 2:-1 5:-1 6:-1
1 201 clueweb12-1205wb-61-24105 3:23.55001 4:-6.703034393017107 7:2 8:22.055388699999998 9:8 10:334 1:-1 2:-1 5:-1 6:-1
1 201 clueweb12-1007wb-48-27054 3:23.499931 4:-6.581654450782481 7:2 8:22.055388699999998 9:7 10:302 1:-1 2:-1 5:-1 6:-1
1 201 clueweb12-0909wb-96-26247 3:23.426802 4:-7.208130466335632 7:2 8:22.055388699999998 9:6 10:893 1:-1 2:-1 5:-1 6:-1
1 201 clueweb12-0713wb-35-13648 3:23.326004 4:-7.5687010345594 7:2 8:22.055388699999998 9:3 10:1656 1:-1 2:-1 5:-1 6:-1
1 201 clueweb12-0800tw-17-25760 3:23.157427 4:-7.534530675790604 7:2 8:22.055388699999998 9:10 10:623 1:-1 2:-1 5:-1 6:-1
